timestamp,aux1
651827325,-1
652439114,-1
652639129,-1
652847118,-1
653051114,-1
653251124,-1
653455299,-1
653655391,-1
653863898,-1
654059304,-1
654267302,-1
654463643,-1
654671116,-1
654871116,-1
655079114,-1
655275135,-1
655483138,-1
655679119,-1
655887123,-1
656087140,-1
656291434,-1
656491212,-1
656696204,-1
656896213,-1
657103114,-1
657299146,-1
657507115,-1
657707114,-1
657911129,-1
658119119,-1
658319116,-1
658523121,-1
658723120,-1
658931114,-1
659135666,-1
659335393,-1
659531117,-1
659739404,-1
659936221,-1
660144002,-1
660351641,-1
660551114,-1
660755118,-1
660955116,-1
661163116,-1
661367114,-1
661567114,-1
661763114,-1
661971147,-1
662171379,-1
662376360,-1
662576436,-1
662771300,-1
662979141,-1
663187115,-1
663383115,-1
663591137,-1
663791116,-1
663995146,-1
664195117,-1
664403116,-1
664599115,-1
664807116,-1
665003158,-1
665211114,-1
665411115,-1
665615121,-1
665816215,-1
666024094,-1
666227336,-1
666427122,-1
666623117,-1
666831116,-1
667039117,-1
667235114,-1
667443116,-1
667643115,-1
667847141,-1
668056219,-1
668256492,-1
668451288,-1
668659415,-1
668855115,-1
669063115,-0.99609375
669263115,-0.9902344
669467117,-0.953125
669667143,-0.87109375
669863115,-0.82421875
670071120,-0.78515625
670271131,-0.7402344
670475117,-0.6953125
670683116,-0.63671875
670883115,-0.5683594
671087114,-0.51171875
671287152,-0.5019531
671496679,-0.5
671699312,-0.5
671899292,-0.5
672096319,-0.48632812
672303114,-0.45117188
672511142,-0.44726562
672707114,-0.44726562
672915131,-0.44726562
673115114,-0.4453125
673319114,-0.4453125
673519115,-0.4453125
673727115,-0.4453125
673931117,-0.4453125
674131114,-0.36914062
674331114,-0.35351562
674535114,-0.33203125
674735114,-0.30664062
674943140,-0.27734375
675140261,-0.2421875
675347887,-0.1953125
675543311,-0.16992188
675751116,-0.16601562
675951149,-0.1640625
676155115,-0.1640625
676363114,-0.10546875
676563114,-0.01953125
676767114,-0.00390625
676967114,0
677163134,0
677371117,0
677579115,0.01171875
677775503,0.025390625
677983124,0.025390625
678183117,0.02734375
678387410,0.03125
678587213,0.033203125
678795302,0.0390625
679000238,0.0703125
679200245,0.07421875
679395114,0.125
679603123,0.16015625
679803160,0.1796875
680007114,0.20703125
680207114,0.2265625
680415114,0.2421875
680611114,0.25976562
680819116,0.27734375
681015117,0.28125
681223117,0.30273438
681423114,0.3203125
681627115,0.33789062
681835196,0.35742188
682035860,0.37695312
682231819,0.3984375
682440594,0.40234375
682635290,0.43164062
682843154,0.44140625
683043121,0.4609375
683247114,0.47070312
683455114,0.47851562
683655117,0.5
683859116,0.50390625
684059150,0.5214844
684255158,0.5234375
684463114,0.53515625
684663115,0.5527344
684867120,0.5546875
685075115,0.5546875
685275136,0.5546875
685479121,0.5546875
685679294,0.5546875
685884199,0.58203125
686091652,0.6152344
686291114,0.6328125
686487118,0.6464844
686695126,0.65234375
686895159,0.6699219
687099117,0.6875
687299120,0.7011719
687507114,0.7207031
687711150,0.7363281
687911964,0.7519531
688107314,0.75390625
688315304,0.75390625
688515308,0.7597656
688719115,0.7675781
688919141,0.7871094
689115116,0.8027344
689323114,0.8105469
689531115,0.8183594
689727114,0.8222656
689935127,0.84375
690135114,0.8496094
690339116,0.8671875
690539156,0.8769531
690747114,0.89453125
690951114,0.9140625
691151115,0.91796875
691347162,0.9199219
691555293,0.93359375
691763214,0.9355469
691960228,0.9355469
692167114,0.9355469
692367115,0.9355469
692571116,0.9355469
692779120,0.9355469
692979192,0.9355469
693183123,0.9589844
693383114,0.9785156
693591116,0.9824219
693787896,0.9863281
693996179,0.9863281
694191355,0.98828125
694399292,0.98828125
694599114,0.9980469
694803115,1
695011114,1
695211142,1
695415117,1
695615115,1
695823114,1
696027116,1
696227115,1
696423116,1
696631142,1
696831114,1
697035117,1
697235151,1
697440736,1
697640467,1
697847872,1
698047114,1
698251116,1
698459115,1
698659117,1
698855116,1
699063115,1
699259119,1
699467114,1
699667166,0.9980469
699871120,0.9765625
700079528,0.9003906
700279378,0.7949219
700483126,0.71484375
700683387,0.61328125
700891342,0.6113281
701096216,0.609375
701296288,0.49414062
701491347,0.36328125
701699114,0.33398438
701899147,0.33398438
702103120,0.2421875
702303114,0.171875
702499115,0.0234375
702707120,0.0078125
702915116,0.005859375
703111120,-0.017578125
703320721,-0.025390625
703520218,-0.029296875
703723343,-0.033203125
703923131,-0.16796875
704131114,-0.2578125
704335115,-0.26171875
704535116,-0.26171875
704731117,-0.35546875
704939119,-0.43164062
705139117,-0.49609375
705343119,-0.49804688
705543120,-0.5
705739338,-0.53515625
705947305,-0.60546875
706155322,-0.7050781
706351117,-0.73046875
706559116,-0.73046875
706759147,-0.7324219
706963115,-0.8652344
707171117,-0.96484375
707371117,-0.9707031
707575114,-0.9707031
707775121,-0.98828125
707983170,-1
708179114,-1
708387117,-1
708583114,-1
708791115,-1
708991138,-1
709195324,-1
709403315,-1
709600251,-1
709807659,-1
710007160,-1
710215116,-1
710419156,-1
710619125,-1
710815114,-1
711023151,-1
711223114,-1
711427116,-1
711627116,-1
711835117,-1
712039682,-1
712239329,-1
712435114,-1
712643478,-1
712851215,-1
713056312,-1
713256271,-1
713455114,-1
713659115,-1
713867114,-1
714067115,-1
714271121,-1
714471121,-1
714679168,-1
714875121,-1
715083154,-1
715280285,-1
715487963,-1
715687819,-1
715891115,-1
716099118,-1
716299117,-1
716503114,-1
716703114,-1
716899115,-1
717107118,-1
717307116,-1
717511115,-1
717719159,-1
717919117,-1
718123117,-1
718323135,-1
718531114,-1
718736247,-1
718936232,-1
719131309,-1
719339216,-1
719539120,-1
719743158,-1
719943114,-1
720151114,-1
720355114,-1
720555115,-1
720755121,-1
720959116,-1
721167114,-1
721367114,-1
721571114,-1
721771116,-1
721967114,-1
722176598,-1
722376108,-1
722579114,-1
722779115,-1
722975114,-1
723183115,-1
723383114,-1
